,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"기독교 대천사부터 본디에이의 천사까지, <천사소개록>","84,418,200",959,"8,800,000","2,729명"
1,게으른 완벽주의자들을 위한 플래너 <데일리 처방전>,"16,690,000",525,"3,173,279",592명
2,"고전에서 발굴한 해몽 기록, <꿈보다 해몽> 도감","12,837,000",641,"2,000,000",613명
3,기다리고 기다렸다! 창작자를 위한 테크웨어 브러쉬,"21,411,000",1427,"1,500,000",438명
4,왕이 사랑한 보석같은 궁중디저트를 선물합니다.,"8,911,000",891,"1,000,000",126명
5,2022년 수묵 담채 호랑이 탁상용 캘린더 2종,"3,302,000",110,"3,000,000",143명
6,모두의 추리로 완성되는 마피아 게임 [죄수들의 밤],"21,487,900",716,"3,000,000",650명
7,하얗고 포근한 눈을 닮은 살냄새 향수 <스노이>,"3,464,500",692,"500,000",79명
8,2022년 나와의 약속을 각인시켜 줄 '작심반지',"1,422,000",284,"500,000",32명
9,조주(Jojoo) 첫 EP앨범 [지도] 제작,"2,707,000",108,"2,500,000",86명
10,[용기내 챌린지]귀여운 수달캐릭터를 담은 빵순이 식빵용기,"1,979,100",395,"500,000",97명
11,"함께 써내려가는 당신의 유서, 아포피스","6,489,295",324,"2,000,000",115명
12,술에 우리는 블렌딩티 [리큐르티],"5,198,000",103,"5,000,000",74명
13,[남매 프로젝트]튀기지 않아도 꾸덕한 남매약과,"4,892,500",978,"5,000,000",132명
14,<서울캥거루의 독립운동기>,"605,777",121,"500,000",24명
15,"[라플레르] 프리지아, 당신의 앞날을 축복할게요","4,078,000",815,"500,000",85명
16,가치를 담아 포근하게 겨울나기 : 패딩 백/머플러,"885,060",29,"3,000,000",19명
17,책한권으로 330만원 번 모든 노하우/얼리버드 8900원,"744,600",148,"500,000",54명
18,다 빼고 만들었다 2탄! 비건 글루텐 프리 대왕쿠키5종!,"935,800",187,"500,000",27명
19,상큼한 귤호떡을 집에서도 간편하게 소은 귤호떡 밀키트,"1,131,000",188,"600,000",53명
20,멸종위기 1급 두루미를 위한 <도로미 팔찌>,"533,000",106,"500,000",26명
21,시한부 여배우의 꿈 - 영화 <속절없는 쪽으로>,"4,195,200",69,"6,000,000",37명
22,"화이트 티, 우아한 향에 취할 수 있으니 조심하세요!","4,018,300",803,"500,000",58명
23,[그림책] 초등학생들이 밝힌다! IT의 성차별 핫IT슈,"1,125,400",75,"1,500,000",32명
24,"우리는 ( )에 관해 말합니다, <가시화>","362,500",12,"3,000,000",16명
25,<웰컴2022 달력> 2022년을 아름답게 시작해보세요!,"399,000",66,"600,000",15명
26,"평범한 레즈비언, 나라와 아인의 이야기 <인어의 나라>","5,542,000",110,"5,000,000",77명
27,"'좋아요'로 전할 수 없는 마음, 절기 엽서에 담아보세요","517,000",103,"500,000",18명
28,[스케치업 웹툰 배경] 세계의 무기 Part 3,"4,780,000",159,"3,000,000",83명
29,<슬로우 칸쿤> 느릿한 여행을 담은 힐링 일러스트북,"1,830,000",91,"2,000,000",37명
30,<옛날 괴물도> 한국전통민화동물 타로 겸용 트럼프 80장,"8,084,000",269,"3,000,000",134명
31,"멀지 않으니까 가끔 놀러 와요, <어제의 바람>","2,711,000",142,"1,900,000",70명
32,"우리들 모두의 시행착오를 위해, <똥차타고 과속->","960,000",48,"2,000,000",26명
33,[ HOMEBODY ] 집을 사랑하는 우리들의 이야기,"519,300",103,"500,000",14명
34,백두산 호랑이가 사라진 이유 <백두산 호랑신 대작전>,"617,000",16,"3,800,000",17명
35,중세 판타지 3D 아이템 소재 세트,"4,400,000",880,"500,000",23명
36,개한테 온 마음과 지갑을 뺏긴 <개엄마의 열두 달>,"843,000",168,"500,000",34명
37,"여러분의 공간을 지켜줄, 수호신 인센스홀더-수 / SOO","1,901,000",190,"1,000,000",21명
38,웹툰과 일러스트에 유용한 고퀄리티 고양이 브러쉬,"775,000",155,"500,000",30명
39,무뎌지는 것에 대하여 : 무용필름 <오해와 착각>,"1,092,700",145,"750,000",27명
40,장편동화 <별이와 무지개다리> 출간 프로젝트,"3,697,500",31,"11,564,400",38명
41,영어덜트 어반 판타지 청소년 성장소설 '나는 사라진다.',"69,000",6,"1,000,000",4명
42,"한 번쯤 가보고 싶은, <하늘과 물결을 연결하는 다리들>","47,500",4,"1,182,000",3명
43,"안티라의 ""훔쳐보는 창작 에세이""","75,000",2,"3,500,000",5명
44,꿈의 회전목마,0,0,"2,000,000",0명
45,편안함을 사랑한게 죄니..? <머레이크 긴팔 슬리브>,0,0,"500,000",0명
46,2022 민화 속 호냥이의 소소한 즐거움 공유 캘린더,0,0,"700,000",0명
47,5.18 민주화운동 애니메이션 <운동화 비행기>,"4,382,000",48,"9,000,000",30명
48,사악한 주술이 가득한... 의식의 서,"8,383,800",279,"3,000,000",304명
49,"한국왕실 고양이 트럼프 카드 <묘화>와 일러스트북,틴케이스","15,991,000",319,"5,000,000",249명
50,당신의 운명을 정하는 [YES/NO] 코인,"4,866,000",324,"1,500,000",159명
51,아름다움의 공감 <아칸서스 그리고 능화 실버 주얼리>,"1,434,000",286,"500,000",20명
52,[설 전 배송]조선클래식의 시작! 대창의 백운코트,"5,004,000",500,"1,000,000",16명
53,BERFUME | 두피와 모발 건강을 위한 다용도 머리수건,"1,080,100",216,"500,000",33명
54,파리와 기억의 지속,"770,000",154,"500,000",16명
55,글감옥 두 번째 작품집 <글감옥 수감일지 vol.2>,"292,000",58,"500,000",9명
56,웹툰과 일러스트를 위한 꽃브러쉬,"49,651,500",4965,"500,000","1,659명"
57,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,"347,353,000",267,"500,000","1,712명"
58,꼬마마법사 레미 공식 한정판 굿즈,"74,329,000",247,"500,000",979명
59,"한국영화 스태프들이 묻고 답하다, <영화가 뭐라고>","17,379,000",1737,"500,000",635명
60,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,"12,830,500",366,"500,000",471명
61,"당신을 지켜주는 영물, '메롱해치 자수 KIT'","7,777,000",777,"500,000",298명
62,파댕이가 돌아와따 ! [흑우 파댕이 인형],"36,523,000",456,"500,000",683명
63,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'","85,799,000",8579,"500,000",624명
64,[스케치업] 로판 일러스트를 위한 평민들의 거리,"34,548,000",1727,"500,000",261명
65,죽음을 연습하는 200가지 질문 -『질문의 죽음』,"3,822,000",318,"500,000",226명
66,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,"49,309,000",2465,"500,000",531명
67,"혼자하는 담력시험, 공포게임『Last Light』","14,010,000",280,"500,000",493명
68,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,"23,092,333",209,"500,000",268명
69,오스카 와일드 <행복한 왕자> 1888년 초판 복원,"8,298,000",276,"500,000",395명
