,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"월간커피, 바나나 우유처럼 부드럽고 크리미한 콜드브루 커피","9,622,000",1924,배송 완료,575명
1,이국적인 문양 브러쉬 (클립스튜디오),"19,187,000",1918,배송 완료,663명
2,"월간커피, 모두가 아는 그 곰돌이 젤리 맛 콜드브루 커피","9,590,000",1918,배송 완료,622명
3,웹툰상생프로젝트#1 구로디지털단지 먹자골목,"19,158,000",1915,배송 완료,543명
4,첨가물 제로! 초콜릿 스프레드,"1,913,000",1913,배송 완료,53명
5,"웹툰 스케치업 프로젝트_04.대학교2_도서관,수영장,대강당","19,100,000",1910,"1,000,000",293명
6,달콤함을 나누는 세명의 쇼콜라티에,"1,907,000",1907,배송 완료,59명
7,"용에 대한 모든 이야기, 프로젝트 〈drag_on〉","9,525,000",1905,배송 완료,306명
8,코끝에 전해지는 제주의 향기 [센트스톤 &룸스프레이],"19,013,000",1901,배송 완료,480명
9,"커피향 가득한 설을 위해, 부산 드립백","5,703,500",1901,배송 완료,172명
10,[스케치업 웹툰배경] 자연과 함께 하는 주택가,"19,010,000",1901,배송 완료,251명
11,세상에서 하나뿐인 나만의 <시그니처 황동인장>,"57,018,500",1900,"3,000,000","1,128명"
12,"고대생이 개발한, 다이어트 혁명 '008 아몬드 파운드'","9,498,400",1899,"500,000",342명
13,당신을 위한 최고의 '프릴 브러쉬',"18,978,000",1897,"1,000,000",635명
14,"여성을 위한 사각팬티, 톤포투 드로즈","37,926,000",1896,배송 완료,991명
15,"월간커피, 고소한 치즈와 달콤한 꿀 같은 콜드브루 커피","9,478,000",1895,배송 완료,612명
16,전설의 셰프 자크 페팽의 <요리의 모든 기술>,"18,920,667",1892,"1,000,000",385명
17,"불안과 우울을 잠재우는 오렌지숲 향, 향수 오렌지 그린우드","18,876,000",1887,배송 완료,369명
18,음식점상가 5종류,"18,835,000",1883,배송 완료,210명
19,당신의 자유롭고 편안한 일상을 위하여 '프리브라 셔츠',"18,822,000",1882,"1,000,000",201명
20,봄을 부르는 '네모의꿈' 텀블러캔버스백,"18,754,000",1875,배송 완료,519명
21,프로N잡러의 취미로 월1000만원 노하우,"5,626,000",1875,배송 완료,226명
22,"할머니가 들려주시는 환상의 사방신과, 천연원석 쥬얼리","18,749,400",1874,배송 완료,339명
23,웹툰 스케치업 착한 배경 프로젝트 - 한옥 2종+정원,"9,370,000",1873,배송 완료,133명
24,달콤한 말차 라떼가 전하는 일상의 마음챙김 [말차 플레저],"9,362,300",1872,배송 완료,167명
