,title,category,intro,url
0,웹툰과 일러스트를 위한 꽃브러쉬,웹툰 리소스,웹툰과 일러스트에 사용할수있는 꽃소재입니다.,https://tumblbug.com/didrkrk
1,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,웹툰 · 만화,많은 사랑을 받았던 네이버웹툰 <고래별> 오디오웹툰 펀딩이 시즌2로 돌아옵니다!,https://tumblbug.com/thewhalestar2
2,꼬마마법사 레미 공식 한정판 굿즈,영화 · 비디오,방영 20주년 기념 '꼬마마법사 레미' 공식 한정판 굿즈를 소개합니다!,https://tumblbug.com/doremi
3,"한국영화 스태프들이 묻고 답하다, <영화가 뭐라고> ",출판,각자 다른 분야에서 일하는 한국영화 스태프 32명의 업무와 고민을 담은 인터뷰집,https://tumblbug.com/secondary_project
4,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,출판,1억1천400만원을 모으겠어! 노동탈출 금융에세이 <자산소득으로 생활하기 프로젝트> 단행본,https://tumblbug.com/financial_lifebook
5,"당신을 지켜주는 영물, '메롱해치 자수 KIT'",홈 · 리빙,메롱해치 자수 키트는 쉽게 프랑스 자수를 배울 수 있는 키트입니다.,https://tumblbug.com/hachikit
6,파댕이가 돌아와따 ! [흑우 파댕이 인형],캐릭터 · 굿즈,파댕이가 돌아와따 ! 모찌 흑우 파댕이의 입양자가 되어주세요!,https://tumblbug.com/padaengi_3
7,"내가 완성하는 매거진북, __는 이렇게 말했다",출판,"스스로 완성하는 단 하나뿐인 잡지, 질문북이자 인터뷰북, '__는 이렇게 말했다'",https://tumblbug.com/zzara_said
8,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'",의류,"내가 가지고 있는 일상복과도 매치하기 쉬운 한복, 나봄 저고리 셔츠&허리치마",https://tumblbug.com/nabomcharim
9,[스케치업] 로판 일러스트를 위한 평민들의 거리,웹툰 리소스,다양한 디자인으로 구성된 평민들의 거리를 제작하였습니다.,https://tumblbug.com/sk_ur02
10,죽음을 연습하는 200가지 질문 -『질문의 죽음』,출판,죽음을 연습하는 질문 200개가 수록된 질문집,https://tumblbug.com/deathofquestions
11,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,웹툰 리소스,로맨스판타지 작품에 도움이 될만한 엑스트라의 활용도를 더 높여 돌아왔습니다!,https://tumblbug.com/romanex2
12,"혼자하는 담력시험, 공포게임『Last Light』",디지털 게임,친구를 찾아 어두운 폐병원을 헤매는 공포 게임... 과연 설화는 친구를 찾을 수 있을까..,https://tumblbug.com/lastlight
13,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,출판,"팀 Artist Ability Family의 첫번째 텀블벅 프로젝트.
<마법의 숲 도서관>",https://tumblbug.com/aaf01
14,오스카 와일드 <행복한 왕자> 1888년 초판 복원,출판,1888년에 발표된 오스카 와일드의 <행복한 왕자> 초판을 복원하려고요!!!,https://tumblbug.com/editions_jeanmoulin15
15,변호사가 알려주는 성폭력 피해자를 위한 법률가이드,출판,성폭력 피해 직후부터 재판에 이르기까지의 과정 동안 어떻게 대응해야 할지를 알려드립니다.,https://tumblbug.com/victimlaw
16,"웹툰, 일러스트를 위한 100종류의 다양한 문양들",웹툰 리소스,100가지 종류의 다양한 문양 장식들을 준비 중 입니다. ,https://tumblbug.com/now21
17,[지갑송 장편소설] <소설 속 엑스트라 큐브 편> 애장판,출판,"지갑송 작가 퓨전 판타지 장편소설, 소설 속 엑스트라 하드커버 애장판",https://tumblbug.com/extra
