,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,[파퓸드블랑] 밤의 여왕 '자스민'이 선사하는 매혹의 향기,"2,665,000",533,배송 완료,73명
1,스케치업 웹툰배경 경복궁 : 경회루,"5,330,000",533,배송 완료,43명
2,[앵콜] 오얏꽃 피던 봄날을 기억하나요 오얏꽃뱃지 부토니에,"2,664,800",532,"500,000",164명
3,<들개> 각본집 2nd 에디션 발간,"15,984,310",532,배송 완료,639명
4,어디에나 활용하기 좋은 웹툰&일러스트 패턴 소재,"5,328,000",532,"1,000,000",301명
5,마음대로 골라 쓰는 세상에 하나뿐인 아이패드 플래너,"1,065,500",532,배송 완료,125명
6,애뽈의 2020 숲소녀 다이어리&달력,"26,636,400",532,배송 완료,676명
7,일상 속 소소한 페미니즘 더하기 : 뱃지와 양말,"2,663,000",532,배송 완료,214명
8,바트가 찾아온 전국 유일 무농약 칸탈로프멜론,"2,662,000",532,"500,000",51명
9,사로잡다. 역사와 스티커가 만났다.,"5,320,600",532,배송 완료,50명
10,청년작가를 응원합니다. 웹툰 배경 참여형 프로젝트 !-학교,"5,320,000",532,"1,000,000",152명
11,진주모티브 귀걸이,"266,000",532,"50,000",25명
12,트릭과 괴인 한글판 - 나무 케이스 한정판,"2,658,500",531,배송 완료,139명
13,[앵콜] 잠 못 이루는 엄마를 위한 숙면베개 <깊은잠공방>,"5,314,140",531,"1,000,000",160명
14,당신의 숲은 가까이,"1,071,000",531,배송 완료,50명
15,피넛(땅콩) 어쿠스틱/일렉 우쿨렐레 2019년 버전,"15,935,000",531,"3,000,000",165명
16,수정구에서 사는 여우의 소망 <수정여우뱃지>,"4,514,500",531,"850,000",311명
17,여성과 일에 대한 진심어린 대화 <롤모델보다 레퍼런스>,"10,621,000",531,배송 완료,345명
18,사랑에 빠진 여우 이야기 : 돌체토비노 그리고 픽폴블랑비노,"2,653,000",530,배송 완료,55명
19,"가족의 마음, 아이들에게 따뜻한 연말을 선물해줄 양털모자","5,303,000",530,배송 완료,149명
20,"YOUR BABY, 난 그 타이틀 필요 없어요","5,302,777",530,배송 완료,132명
21,폐탄광과 숲속길,"2,651,000",530,배송 완료,139명
22,"성별 이분법에 저항하는 그림책, '망망아 뭐 그려?'","3,180,000",530,"600,000",144명
23,"손목 위의 아름다움, 진주팔찌","530,000",530,배송 완료,29명
24,"하루의 끝, 위스키 - 쉽고 재미있는 위스키 이야기","10,596,500",529,배송 완료,415명
25,비혼여성들이 만드는 잡지 <Magazine 批> vol.3,"5,298,000",529,배송 완료,236명
26,"'계절의 꽃'을 담아낸, <꽃내음 엽서 & 디퓨저>","2,648,760",529,배송 완료,33명
27,"텀블러,머그컵을 가장 손쉽게 세척하는 방법, '발포클리너'","2,648,300",529,"500,000",88명
28,"사랑하는 만큼 행동하고 싶다면, 제4회 카라동물영화제 굿즈","10,593,003",529,"2,000,000",282명
29,흐르는 시간과 멈추고 싶은 순간의 기록. flowmory,"2,646,400",529,배송 완료,87명
30,천상도 속 이야기 '삼원과 28수' 악세서리,"2,645,500",529,배송 완료,75명
31,활자모—세로쓰기 전용 서체 •나리운•,"15,870,000",529,"3,000,000",215명
32,17년차 안경바보가 만든 블루라이트 차단 안경,"4,232,000",529,배송 완료,105명
33,남씨 작가와 함께하는 <탱고와 누렁> 모찌인형,"15,862,600",528,배송 완료,401명
34,"스케치업 웹툰 배경 ""중세 고딕""","5,285,000",528,배송 완료,302명
35,소소하게 수집하는 가장 작은 그림 <아니누보 그림 엽서>,"1,057,000",528,배송 완료,38명
36,인도 찬드라반 아이들에게 함께 놀이터를 지어주세요!,"5,284,000",528,"1,000,000",83명
37,캐릭터들의 든든한 한 끼를 책임진다! <한식 브러쉬>,"5,281,300",528,배송 완료,135명
38,Dawn of FATE:운명의 새벽(TRPG Rule Book),"10,561,020",528,"2,000,000",189명
39,대구퀴어문화축제 'Queerful Daegu' 페스티벌굿즈,"15,831,000",527,"3,000,000",453명
40,애뽈의 2022 숲소녀 다이어리&달력,"26,484,400",529,배송 완료,596명
41,"포근함과 편안함을 모두 갖춘, 기모팬츠 / 후드모자","3,693,500",527,배송 완료,129명
42,"""너의 화를 흡수 해줄게"" 어티 뿔까망","2,638,000",527,"500,000",94명
43,[길고양이] 장애묘에게 더 넓은 세상을 보여주세요,"10,549,298",527,"2,000,000",637명
44,대한민국 넷페미사 - 우리에게도 빛과 그늘의 역사가 있다,"10,548,000",527,배송 완료,674명
45,당신의 데일리 무선충전백 <오드아이 숄더백&비즈니스백>,"26,360,000",527,"5,000,000",199명
46,<엔니오모리꼬네> 영화 시네마 천국 스틸사진이 LP판에 ?,"10,542,400",527,"2,000,000",161명
47,<우리의 꿈은 '등단'이 아니다> 백인경 첫 시집,"2,635,500",527,"500,000",164명
48,"가끔은, 게으른 집사여도 괜찮은 [장냥감]","15,811,289",527,배송 완료,404명
49,"줄, 펜던트 내 마음대로 바꾸는 목걸이","1,054,000",527,"200,000",33명
50,"눈물의 위로, Comfort with tears 눈물맨투맨","5,270,000",527,배송 완료,100명
51,"[뱃지]생선가게 지키는 고양이 은갈치, 이녀석은 고등어태비","5,269,000",526,배송 완료,244명
52,세상에서 하나뿐인 아프리카 모자 : 아트캡,"5,267,000",526,배송 완료,57명
53,여성들을 위한 여성들에 의한 클래식 연주회 'AXXENT',"6,319,000",526,"1,200,000",184명
54,"도구와 손 포즈_웹툰, 일러스트(클립스튜디오, 스케치업)","5,265,000",526,배송 완료,135명
