,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
0,"함께 써내려가는 당신의 유서, 아포피스",디지털 게임,"가상의 인물과 함께 책으로, 앱 서비스로, 당신의 유서를 함께 써 내려가보세요",6489295,324,2000000,115
1,술에 우리는 블렌딩티 [리큐르티],푸드,"술을 즐기는 새로운 감성을 느껴보세요.
술에 우리는 블렌딩티-리큐르티",5198000,103,5000000,74
2,[남매 프로젝트]튀기지 않아도 꾸덕한 남매약과,푸드,패스츄리처럼 켜가 살아있는 남매약과는 집청을 가득 머금어 꾸덕한 식감을 자랑합니다.,4892500,978,5000000,132
3,<서울캥거루의 독립운동기>,출판,"돈도, 집도 없지만 자의식과 취향은 확고한 서울 캥거루족의 독립선언! 그리고 시작된 이야기",605777,121,500000,24
4,"[라플레르] 프리지아, 당신의 앞날을 축복할게요",향수 · 뷰티,"진짜 전문 플로리스트가 만드는 진짜 플로럴 퍼퓸의 아름다운 향기, '라플레르' 프로젝트",4078000,815,500000,85
5,가치를 담아 포근하게 겨울나기 : 패딩 백/머플러,잡화,리사이클 나일론과 페트병(rPET) 충전재를 활용한 N-way [패딩백]과 [머플러],885060,29,3000000,19
6,다 빼고 만들었다 2탄! 비건 글루텐 프리 대왕쿠키5종!,푸드,"비건, 글루텐 프리 식단을 하시는 분들을 위해 준비한 연말 선물!
비건 노밀가루 대왕쿠키!",935800,187,500000,27
7,웹툰과 일러스트에 유용한 고퀄리티 고양이 브러쉬,웹툰 리소스,로판 및 각종 웹툰에서 적용가능한 클립스튜디오/포토샵 브러쉬(브러쉬)입니다.,775000,155,500000,30
8,"안티라의 ""훔쳐보는 창작 에세이""",출판,"컨텐츠를 창작하여 사람들과 공유하여 영감과 재미를 전달하는 안티라의 첫번째 창작 에세이
",75000,2,3500000,5
9,편안함을 사랑한게 죄니..? <머레이크 긴팔 슬리브>,의류,"편안함으로 당신을 이끌겠어요...
여유있는 오버핏으로 낭낭하게",0,0,500000,0
10,2022 민화 속 호냥이의 소소한 즐거움 공유 캘린더,디자인 문구,용감무쌍하게 도전하고 천진난만하게 긍정적으로 자신을 나아가고자하는 캐릭터호냥이 공유하기,0,0,700000,0
11,5.18 민주화운동 애니메이션 <운동화 비행기>,영화 · 비디오,그림책 <운동화 비행기>를 원작으로 아름답고 숭고한 민주주의 정신을 담은 단편 애니메이션,4382000,48,9000000,30
12,사악한 주술이 가득한... 의식의 서,보드게임 · TRPG,사악한 주술이 가득한... 의식의 서,8383800,279,3000000,304
