,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,"기독교 대천사부터 본디에이의 천사까지, <천사소개록>","84,418,200",959,"8,800,000","2,729명"
1,게으른 완벽주의자들을 위한 플래너 <데일리 처방전>,"16,690,000",525,"3,173,279",592명
2,"고전에서 발굴한 해몽 기록, <꿈보다 해몽> 도감","12,837,000",641,"2,000,000",613명
3,기다리고 기다렸다! 창작자를 위한 테크웨어 브러쉬,"21,365,000",1424,"1,500,000",437명
4,왕이 사랑한 보석같은 궁중디저트를 선물합니다.,"8,911,000",891,"1,000,000",126명
5,2022년 수묵 담채 호랑이 탁상용 캘린더 2종,"3,285,000",109,"3,000,000",142명
6,모두의 추리로 완성되는 마피아 게임 [죄수들의 밤],"21,487,900",716,"3,000,000",650명
7,하얗고 포근한 눈을 닮은 살냄새 향수 <스노이>,"3,464,500",692,"500,000",79명
8,2022년 나와의 약속을 각인시켜 줄 '작심반지',"1,422,000",284,"500,000",32명
9,조주(Jojoo) 첫 EP앨범 [지도] 제작,"2,707,000",108,"2,500,000",86명
