,title,category,intro,url
0,프리랜서 작가로 한 달에 400~1000만 원 버는 법,출판,프리랜서 작가 실전 노하우와 팁 / 모든 글쓰기 분야 작법 설명 / 정확한 페이 계산 ,https://tumblbug.com/aronsong5
1,"기독교 대천사부터 본디에이의 천사까지, <천사소개록> ",출판,"기독교, 유대교 전설, 이슬람 천사들과 '본디에이의 천사들'이라 불리는 부두교 로아의 기록",https://tumblbug.com/angelus
2,데뷔 못 하면 죽는 병 걸림 1차 공식 굿즈,출판,"[KW북스] 백덕수 작가님의 '데뷔 못 하면 죽는 병 걸림' 첫 번째 공식굿즈, 마법소년.",https://tumblbug.com/testar_official_1st_goods
3,500가지 기호와 상징 <SYMBOLS> 심볼 사전,출판,"수천 년의 인류 역사에 걸쳐 500개가 넘는 기호, 상징
고대 천문학부터 마법 악마학까지 ",https://tumblbug.com/symbols300
4,"월간커피, 군밤과 군고구마 같은 겨울 간식 콜드브루 커피",푸드,'월간커피'라는 이름으로 매달 새로운 싱글 오리진 콜드브루 커피를 한정수량으로 선보입니다.,https://tumblbug.com/brewsbrothers49
5,문 시놉시스 : 웹소설 작가가 만든 하이퍼링크 시놉시스,출판,"웹소설은 물론 스토리텔링이 필요한 모든 곳에, 아마추어부터 프로작가까지 하이퍼링크 시놉시스",https://tumblbug.com/moonsynopsis
6,세상에 없던 새로운 수채화 다이어리,디자인 문구,일상 속에서 간편하게 그림 그리는 수채화 다이어리,https://tumblbug.com/artable
7,웹툰&일러스트 꽃과 과일 장식 브러쉬,웹툰 리소스,"웹툰, 일러스트를 빠르고 화려하게 꾸며줄 꽃과 과일 위주로 구성된 장식 브러쉬 세트입니다.",https://tumblbug.com/22020571
8,우리나라 역사 속 하늘세계로<찬란한 우리 천체 이야기-상>,출판,"우리나라 역사 기록 속 신비한 천문 이야기와 별자리 점괘, 설화를 모두 소개하는 책입니다.",https://tumblbug.com/koreauniverse
9,"화려한 제복의 시대 ""그림으로보는 대한제국의 군복""",출판,대한제국의 화려한 서양식 군복들을 한권에 담았습니다.,https://tumblbug.com/uniformkorea
10,2022년 검은호랑이[흑호] 캔버스백&폰/이어폰케이스&키링,잡화,2022년 검은호랑이를 맞이하는 흑호 [ 캔버스백] [ 핸드폰&이어폰 케이스] [키링].,https://tumblbug.com/black_tiger
11,관점을 바꾸는 그림시 <뻐끔뻐끔>,출판,난 너를 사랑하지만 우리는 참 소통이 안돼_'저주받은 커뮤니케이션',https://tumblbug.com/redentertainment
12,어느 여행자가 남긴 <<판타지 설정 도감>>,출판," 판타지 세계의 식자재, 무기는 물론 다양한 종족과 동식물의 설명으로 가득합니다.",https://tumblbug.com/fantasyart
13,[살인의 향기] 인류 최초의 '살인'에 대하여..,향수 · 뷰티,여러분들께 들려드릴 이야기는 바로 인류 최초의 살인으로 기록된 카인과 아벨의 이야기입니다.,https://tumblbug.com/mythicmurder
14,[압생트] 녹색의 요정은 '고흐'에게 녹색악마로 변하였다.,향수 · 뷰티,"19세기 후반 유럽국가들의 예술가들에게 엄청난 사랑을 받았던 술, '압생트' 향수 프로젝트",https://tumblbug.com/absiinthe
15, 게으른 완벽주의자들을 위한 플래너 <데일리 처방전>,디자인 문구,"'완벽하려다 아무것도 못했다'라는 말은 그만-
하루 한 장, 데일리 처방전과 함께 해요.",https://tumblbug.com/dailyprescription
16,"고전에서 발굴한 해몽 기록, <꿈보다 해몽> 도감 ",출판,오랜 역사서와 민간 자료에서 꿈 이야기를 모아 해몽 도감을 발간합니다.,https://tumblbug.com/dreaminterpret
17,오픈월드형 스토리텔링 보드게임 [슬리핑 갓즈 한국어판],보드게임 · TRPG,이제 기나긴 항해의 서막을 올릴 시간입니다. 슬리핑 갓즈 보드게임 정식 한국어판,https://tumblbug.com/sleepinggods
18,방안을 가득 채울 수 있는 풀장: [프룸] 인센스 홀더,홈 · 리빙,풀장에서 모티브를 딴 인센스 홀더 [프룸]은 방안을 향으로 가득 채울 수 있는 풀장입니다.,https://tumblbug.com/prooml
19,타로와 점성술의 조합 '별 타로카드 PRO',디자인,"타로카드에 별자리, 행성, 원소 기호를 추가하여 다방면으로 활용할 수 있는 새로운 타로 덱",https://tumblbug.com/pro
20,대장정의 마지막! <가담항설> 오디오 웹툰 드라마 시즌3,웹툰 · 만화,네이버웹툰 <가담항설>의 오디오 웹툰 드라마 마지막 시즌!,https://tumblbug.com/gdhsseason3
21,"<ANCIENT KOREA> 금관의 시대, 고대 한복의 멋",출판,"화려한 금관과 세련된 장신구, 고대 한복의 멋을 그려낸 [아트북]과 [엽서북] [포토카드]",https://tumblbug.com/ancient_korea
22,"음악을 가지다, <NFT>가 적용 된 음악을 소유할 기회",음악,피아노 연주 음반을 제작하고 [NFT]를 발행하여 소유권을 전달드립니다.,https://tumblbug.com/laeebly
23,"내 방안의 작은 불멍, 연기폴폴 화목난로",홈 · 리빙,멍 때리는 것 조차 시간과 장소에 구애받을 순 없잖아? 언제 어디서나 향멍 불멍 때리기!,https://tumblbug.com/fishtree002
24,[weDIGIDOG]상업 내부 7종 모음,웹툰 리소스,[weDIGIDOG]상업 내부 7종 모음,https://tumblbug.com/digidog3d002
25,중등수학부터 고등수학까지 한번에 정리한 <수포의 공식집>,출판,졸업/입학/새학기 최고의 선물 <수포의 공식집>: 우리들 가방속 필수 아이템!!!,https://tumblbug.com/gozipmath_1
26,이 세상에 없는 꾸덕함! 홈카페를 완성할<모아 그릭요거트>,푸드,"안 먹어본 여성은 있으나, 한번만 먹은 여성은 없다!
치즈인가 요거트인가? 모아그릭요거트!",https://tumblbug.com/moagreek
27,[지옥] '지옥'의 향기을 담아내다.,향수 · 뷰티,"지금, 여러분은 어디에 있습니까? 그곳은 천국인가요? 아니면 지옥인가요?",https://tumblbug.com/parfumdedeath2
28,"베이커리의 맛을 더욱 끌어올려줄 이색 아이템, 통무화과잼",푸드,다양한 베이커리와 함께 곁들여 먹으면 그 맛을 더욱 끌어올려줄수 있는 다재다능 무화과입니다,https://tumblbug.com/sodeuraki
29,"1~4인까지, 협동 타이쿤 [Turn the Line!]",디지털 게임,토끼 알렉스와 동료들을 주인공으로 1~4인까지 플레이 가능한 협동 타이쿤 게임입니다.,https://tumblbug.com/turntheline
30,진정한 사랑과 행복을 찾아서 <True Love>,출판,[truelove]의 입체북 동화책 프로젝트,https://tumblbug.com/oklove
31,살짝... 설렜을지도... 다 함께 메이킹 BL ~학원편~,보드게임 · TRPG,이렇게 불끈한 플레이는 처음이야. 어느 고등학교에서 펼쳐지는 두근두근 위험한 학원 로맨스!,https://tumblbug.com/makingbl_1
