,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,[라 보라카이] 황홀한 선셋의 향기 '비포 선셋',"1,872,000",374,"500,000",24명
1,"일상에 낭만을 더하는 다이어리 키트, <하이틴 타임>","112,000",22,"500,000",6명
2,"버티지 않는 삶에 관하여, <하기 싫은 건 하지 않는다>","1,065,200",53,"2,000,000",25명
3,"기획자를 위한, 의한 영감노트 ""I am into____""","66,000",2,"2,500,000",4명
4,나랑 손씻으러 가지 않을래? 너를 위해 준비했어 '캡슐솝',"5,723,000",572,"1,000,000",134명
5,"인류에게 고하는 가장 화려한 작별, <잊혀진 것들의 도시>","8,812,000",881,"1,000,000",389명
6,50년 된 목욕탕의 마지막 모습 <인류 최후의 목욕탕>,"1,687,000",337,"500,000",56명
7,미얀마 민주화 투쟁 연대시 번역본 (미얀마어 영어) 발간,"2,834,000",47,"6,000,000",57명
8,아르누보 시그림책<멀고도 가까운 노래들>1900년초판 복간,"14,384,000",287,"5,000,000",227명
9,언제 어디서나 간편하게 즐기는 브루스 브라더스 드립백 커피,"4,231,000",846,"500,000",193명
10,네 명의 방랑자가 전하는 기묘하고 유쾌한 여덟 빛깔 이야기,"1,794,623",179,"1,000,000",49명
11,"내 마음의 아픔 해결법, <마음을 읽고 싶은 당신에게>","8,632,000",86,"10,000,000",47명
12,제주 백록담의 전설 백로기의 행운을 담은 아우터 세트,"3,459,000",230,"1,500,000",45명
13,2022년 조선 호랑이 뱃지들,"430,850",86,"500,000",29명
14,"달콤한 매력에 농염한 마력까지!체리에 반하다,체리머스크향수","5,873,400",839,"700,000",128명
15,"로판에 어울리는 아르누보, 바로크풍의 프레임과 패턴, 문양","5,982,000",598,"1,000,000",192명
16,바닐라 향에 진심인 조향사가 선보이는 따스한 바닐라 향수,"10,416,000",1041,"1,000,000",129명
17,비대면 시대 연애 비쥬얼 노벨 <맛있는 사랑>,"3,548,000",177,"2,000,000",96명
18,길 잃은 크리스천을 위한[하나님 제 얘기 좀 들어보세요],"995,600",99,"1,000,000",32명
19,내 손 안의 작은 바다 <숨비와 파도 반지>,"23,185,000",772,"3,000,000",273명
