,funding_amount,percentage,rest_day
0,"20,985,777원",4197%,28일 남음
1,"81,431,900원",925%,50일 남음
2,"423,651,000원",4236%,4일 남음
3,"157,973,700원",1053%,11일 남음
4,"6,730,000원",1346%,7일 남음
5,"38,088,835원",7617%,11일 남음
6,"14,819,000원",1481%,28일 남음
7,"5,118,000원",426%,33일 남음
8,"19,435,000원",242%,41일 남음
9,"11,057,000원",737%,56일 남음
10,"25,236,500원",2523%,7시간 남음
11,"3,618,600원",723%,27일 남음
12,"48,880,833원",1222%,2일 남음
13,"27,885,100원",5577%,1일 남음
14,"22,183,000원",4436%,9일 남음
15,"14,589,000원",459%,14일 남음
16,"12,061,000원",603%,28일 남음
17,"188,741,000원",1887%,11일 남음
18,"965,000원",120%,28일 남음
19,"12,399,600원",137%,20일 남음
20,"91,476,000원",114%,34일 남음
21,"3,486,000원",87%,42일 남음
22,"16,342,500원",544%,20일 남음
23,"1,600,500원",320%,15일 남음
24,"1,232,000원",123%,30일 남음
25,"15,547,800원",518%,23일 남음
26,"10,576,600원",1057%,11일 남음
27,"19,466,000원",3893%,1일 남음
28,"611,400원",55%,23일 남음
29,"7,002,000원",233%,55일 남음
30,"3,063,600원",122%,30일 남음
31,"19,836,600원",360%,56일 남음
32,"39,972,000원",399%,6일 남음
33,"11,984,600원",1198%,27일 남음
34,"10,202,000원",204%,33일 남음
35,"10,656,700원",675%,7시간 남음
36,"3,723,800원",250%,14일 남음
37,"20,155,000원",1343%,3일 남음
38,"418,000원",83%,13일 남음
39,"13,559,000원",903%,4일 남음
40,"19,801,000원",198%,27일 남음
41,"2,858,000원",285%,38일 남음
42,"1,939,400원",193%,58일 남음
43,"12,672,000원",1267%,6일 남음
44,"551,000원",110%,25일 남음
45,"10,981,680원",1098%,9일 남음
46,"7,400,000원",740%,12일 남음
47,"2,546,000원",363%,28일 남음
48,"2,420,000원",242%,6일 남음
49,"29,772,000원",2977%,2일 남음
50,"27,833,800원",695%,48일 남음
51,"33,819,000원",6763%,7일 남음
52,"1,831,200원",366%,7시간 남음
53,"520,600원",104%,14일 남음
54,"1,599,000원",53%,33일 남음
55,"3,013,000원",100%,10일 남음
56,"5,692,000원",406%,11일 남음
57,"15,958,000원",319%,34일 남음
58,"4,231,000원",846%,9일 남음
59,"1,625,000원",108%,3일 남음
60,"11,925,100원",1192%,21일 남음
61,"1,387,300원",277%,16일 남음
62,"2,532,850원",506%,14일 남음
63,"946,000원",189%,39일 남음
64,"1,904,000원",317%,9일 남음
65,"2,395,000원",299%,28일 남음
66,"7,804,200원",1560%,12일 남음
67,"4,362,000원",145%,7시간 남음
68,"34,039,225원",425%,34일 남음
69,"21,292,900원",709%,37일 남음
70,"8,007,000원",320%,28일 남음
71,"3,384,500원",676%,13일 남음
72,"16,740,000원",1673%,1일 남음
73,"490,000원",98%,4일 남음
74,"2,800,000원",560%,29일 남음
75,"14,248,000원",1424%,14일 남음
76,"9,662,000원",966%,17일 남음
77,"25,939,300원",370%,3일 남음
78,"4,696,000원",939%,13일 남음
79,"4,451,000원",445%,2일 남음
80,"18,525,000원",926%,21일 남음
81,"9,907,200원",1981%,17일 남음
82,"6,569,500원",656%,7시간 남음
83,"4,616,000원",923%,27일 남음
84,"2,716,600원",271%,14일 남음
85,"8,695,000원",57%,32일 남음
86,"12,273,000원",818%,15일 남음
87,"1,200,000원",80%,17일 남음
88,"5,123,000원",1024%,1일 남음
89,"2,840,750원",568%,26일 남음
90,"1,384,000원",276%,19일 남음
91,"658,000원",65%,14일 남음
92,"354,000원",6%,20일 남음
93,"1,940,600원",64%,22일 남음
94,"2,031,200원",406%,4일 남음
95,"2,985,000원",298%,13일 남음
96,"2,695,300원",539%,14일 남음
97,"13,888,000원",1388%,11일 남음
98,"4,181,000원",836%,1일 남음
99,"2,833,500원",101%,7일 남음
100,"14,371,000원",1437%,43일 남음
101,"2,422,000원",96%,22일 남음
102,"3,039,800원",202%,30일 남음
103,"1,237,400원",247%,11일 남음
104,"9,454,000원",945%,14일 남음
105,"4,511,200원",151%,23일 남음
106,"51,990,000원",1039%,27일 남음
107,"1,599,000원",319%,28일 남음
108,"3,507,000원",350%,4일 남음
109,"1,756,000원",175%,13일 남음
110,"5,380,450원",179%,6일 남음
111,"299,600원",59%,10일 남음
112,"2,411,000원",120%,7일 남음
113,"1,959,300원",391%,21일 남음
114,"3,943,600원",394%,14일 남음
115,"5,723,000원",572%,27일 남음
116,"2,834,000원",47%,14일 남음
117,"3,523,900원",352%,14일 남음
118,"14,384,000원",287%,32일 남음
119,"4,641,000원",46%,21일 남음
120,"1,695,000원",169%,8일 남음
121,"1,850,850원",370%,7일 남음
122,"3,109,000원",124%,28일 남음
123,"8,318,800원",554%,35일 남음
124,"10,610,600원",353%,14일 남음
125,"1,109,000원",110%,34일 남음
126,"15,060,500원",753%,35일 남음
127,"557,000원",111%,28일 남음
128,"10,463,000원",1046%,12일 남음
129,"3,551,000원",710%,4일 남음
130,"544,000원",108%,6일 남음
131,"3,382,000원",130%,6일 남음
132,"3,859,000원",385%,17일 남음
133,"377,600원",37%,28일 남음
134,"1,305,000원",186%,15일 남음
135,"751,000원",150%,28일 남음
136,"348,000원",69%,28일 남음
137,"257,500원",36%,28일 남음
138,"5,061,999원",92%,27일 남음
139,"3,212,000원",321%,6일 남음
140,"1,872,000원",374%,1일 남음
141,"112,000원",22%,29일 남음
142,"1,065,200원",53%,26일 남음
143,"66,000원",2%,28일 남음
144,"6,212,296원",310%,28일 남음
145,"8,790,000원",878%,6일 남음
146,"4,256,500원",851%,28일 남음
147,"1,794,623원",179%,25일 남음
148,"8,632,000원",86%,11일 남음
149,"3,459,000원",230%,25일 남음
