,title,current_funding_amount,percentage,target_funding_amount,supporter
11,"함께 써내려가는 당신의 유서, 아포피스",6489295,324,2000000,115명
12,술에 우리는 블렌딩티 [리큐르티],5198000,103,5000000,74명
13,[남매 프로젝트]튀기지 않아도 꾸덕한 남매약과,4892500,978,5000000,132명
14,<서울캥거루의 독립운동기>,605777,121,500000,24명
15,"[라플레르] 프리지아, 당신의 앞날을 축복할게요",4078000,815,500000,85명
16,가치를 담아 포근하게 겨울나기 : 패딩 백/머플러,885060,29,3000000,19명
18,다 빼고 만들었다 2탄! 비건 글루텐 프리 대왕쿠키5종!,935800,187,500000,27명
38,웹툰과 일러스트에 유용한 고퀄리티 고양이 브러쉬,775000,155,500000,30명
43,"안티라의 ""훔쳐보는 창작 에세이""",75000,2,3500000,5명
45,편안함을 사랑한게 죄니..? <머레이크 긴팔 슬리브>,0,0,500000,0명
46,2022 민화 속 호냥이의 소소한 즐거움 공유 캘린더,0,0,700000,0명
47,5.18 민주화운동 애니메이션 <운동화 비행기>,4382000,48,9000000,30명
48,사악한 주술이 가득한... 의식의 서,8383800,279,3000000,304명
49,"한국왕실 고양이 트럼프 카드 <묘화>와 일러스트북,틴케이스",15991000,319,5000000,249명
50,당신의 운명을 정하는 [YES/NO] 코인,4866000,324,1500000,159명
51,아름다움의 공감 <아칸서스 그리고 능화 실버 주얼리>,1434000,286,500000,20명
52,[설 전 배송]조선클래식의 시작! 대창의 백운코트,5004000,500,1000000,16명
53,BERFUME | 두피와 모발 건강을 위한 다용도 머리수건,1080100,216,500000,33명
54,파리와 기억의 지속,770000,154,500000,16명
55,글감옥 두 번째 작품집 <글감옥 수감일지 vol.2>,292000,58,500000,9명
56,웹툰과 일러스트를 위한 꽃브러쉬,49651500,4965,500000,"1,659명"
57,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,347353000,267,500000,"1,712명"
58,꼬마마법사 레미 공식 한정판 굿즈,74329000,247,500000,979명
59,"한국영화 스태프들이 묻고 답하다, <영화가 뭐라고>",17379000,1737,500000,635명
60,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,12830500,366,500000,471명
61,"당신을 지켜주는 영물, '메롱해치 자수 KIT'",7777000,777,500000,298명
62,파댕이가 돌아와따 ! [흑우 파댕이 인형],36523000,456,500000,683명
63,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'",85799000,8579,500000,624명
64,[스케치업] 로판 일러스트를 위한 평민들의 거리,34548000,1727,500000,261명
65,죽음을 연습하는 200가지 질문 -『질문의 죽음』,3822000,318,500000,226명
66,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,49309000,2465,500000,531명
67,"혼자하는 담력시험, 공포게임『Last Light』",14010000,280,500000,493명
68,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,23092333,209,500000,268명
69,오스카 와일드 <행복한 왕자> 1888년 초판 복원,8298000,276,500000,395명
70,변호사가 알려주는 성폭력 피해자를 위한 법률가이드,4912000,982,500000,251명
71,"웹툰, 일러스트를 위한 100종류의 다양한 문양들",4914000,982,500000,223명
72,[지갑송 장편소설] <소설 속 엑스트라 큐브 편> 애장판,26742000,106,500000,152명
73,매일 3분 라인이 살아나는 습관,5046000,504,500000,133명
74,"내 손으로 하이드를 깨우다, 지킬 투 하이드 잉크",34047000,3404,500000,703명
75,목격자의 진술로 사건을 해결하는 추리 게임 [미제 사건],15207000,304,500000,327명
76,[CachiBag]물과 햇빛 그리고 선인장으로 빚은 가치백,32778000,409,500000,193명
77,시간을 담은 포스터 만화책 <MEMO> 출간,3684000,184,500000,111명
78,"식물이 있는 우리, 타이페이식물원",3842500,109,500000,85명
79,길몽 팔아서 1억을 번다고요? 한국형 판타지 소설 <옥토>,4040000,808,500000,183명
80,"우주만큼 복잡한 내 감정 찾기, 코스믹 마인드 오로라 카드",15203000,337,500000,546명
81,"영롱한 펄과 함께 동화 속으로 초대할게요, 밀크웨이 입욕제",18002500,3600,500000,446명
82,혹시 나도 탈모인가? 걱정한적 있다면! 헤막안티헤어로스샴푸,7307900,146,500000,167명
83,"스케치업 해안마을과 소방차, 이삿짐차",13925000,1392,500000,262명
84,지구 멸망을 앞둔 두 여자의 사랑 소설 <멸망의 감정>,3850000,192,500000,174명
85,66100 2020 브라렛,11615200,116,500000,171명
86,30종의 비인간 존재가 되어보는 <상괭이와 춤을> 키트,6392000,127,500000,136명
87,맥베스의 향기를 찾았다 <넵튠과 아포리아>,5728000,636,500000,131명
88,[RE:PLA] 쓰레기도 줄여주고 플라스틱 업사이클까지??,5451200,545,500000,231명
89,웹툰&일러스트에 활용하기 좋은 <헤일로(후광)>소재,11918000,1191,500000,316명
90,나의 졸업을 막으려는 누군가가 있다? [공포의 조별과제],7687700,109,500000,169명
91,대체 불가한 독보적인 컬러의 아티스트 프롬 LP 발매,28807000,960,500000,529명
92,내년의 우린 좀 더 평안하고 행복하길 <차와향 리추얼키트>,3793000,379,500000,38명
93,"사랑을 다룬 단편선, <기묘한 사랑에 관한 보고서>",3072000,438,500000,136명
94,"강원의 겨울산 모습을 닮은 세미 커스터마이징 가방, 산산백",8523500,852,500000,102명
95,"서사의 주인공을 맡아보세요, 짙은 여운을 머금은 북퍼품",6369000,212,500000,124명
96,녹차 없는 녹차는 그만! 설탕 없이 달달한 달콤 아몬드녹차,3300000,660,500000,93명
97,따듯한 햇살의 포근함을 드려요 [ 안전한 섬유 탈취제 ],5369000,1073,500000,94명
98,폐플라스틱의 재탄생! 따뜻한 플라삭스,1177800,235,500000,52명
99,윌리엄 모리스가 말하는 『아름다움을 만드는 일』,3278000,163,500000,103명
100,서울대생이 만든 공부습관 형성 플래너 & 뉴스레터,1533590,306,500000,85명
101,인생의 향기가 궁금할 때 <6가지 여정의 향>,3018900,603,500000,122명
102,극단 '공백' 2021 창작뮤지컬 [레테의 정원],5057000,101,500000,69명
103,"믿을 수 있는 건 무엇인가요?, 단편영화 <침묵>",1238332,103,500000,39명
104,지구돌봄을 위한 유쾌한 탐험! 생태놀이판 <토킹어스>,1798000,359,500000,29명
105,할머니 할아버지를 위한 놀이책 <월간 실버>,1739000,289,500000,129명
106,"달빛을 머금은 도자기, 월백 균요",2587000,258,500000,33명
