index,title,category,current_funding_amount,percentage,target_funding_amount,supporter,result,match_cnt,fold
0,"짐볼로 만든 인형, '돌리볼리'",캐릭터 · 굿즈,329000,8,4112500,6명,0,1,1
1,"함께 만드는 악기 전문 웹진, <The Strings>",출판,701000,14,5007100,27명,0,1,4
2,감사한 분들께 드리는 마음을 담을 고급 가죽 봉투,디자인 문구,0,0,0,0명,0,0,4
3,마다가스카르 사진전,사진,2322000,38,6110500,54명,0,0,3
4,인형의 시간들,출판,727000,36,2019400,29명,0,0,2
5,"나무로 만든, 만년달력 연필꽂이",디자인 문구,128000,19,673600,4명,0,1,3
6,생활의 바다에서 플라스틱 쓰레기를 없애는 [바벗 카드지갑],잡화,337000,42,802300,10명,0,0,3
7,달파란 첫번째 일러스트 아트북,출판,575000,19,3026300,26명,0,0,5
8,ROPEAN의 첫 번째 프로젝트; TEXAS TRUCK,잡화,2790000,79,3531600,29명,0,0,1
9,우리 아이 첫 성교육 지침서,출판,26000,2,1300000,2명,0,0,2
10,화투로 니냐노 놀아보자!,홈 · 리빙,879000,58,1515500,36명,0,0,3
11,여름에 자유를 더하다! FREEDOM 일러스트 면 티셔츠,의류,974000,18,5411100,31명,0,0,4
12,고양이왕 뱃지와 기타 굿즈 제작,캐릭터 · 굿즈,641000,98,654000,47명,0,0,5
13,2021 미니멀라이프 이태리 베지터블가죽 핸드폰 카드지갑,잡화,154000,30,513300,4명,0,0,3
14,나만의 옷을 만들자!,의류,5000,0,0,1명,0,0,1
15,길고양이 캐릭터 마마마 굿즈 만들기!,캐릭터 · 굿즈,570000,19,3000000,20명,0,0,5
16,"당신만을 위해 제작하는, 버블 이니셜 목걸이",주얼리,112000,37,302700,4명,0,1,2
17,「 바라보다; 자폐성 장애 인식 개선 전시회 」,예술,42000,5,840000,5명,0,0,3
18,"고민하는 크리스챤을 위한, 기억하고 기도하기 위한 뱃지",잡화,26000,1,2600000,3명,0,1,3
19,내 방안의 작은 겨울 - 핸드메이드 월행잉,홈 · 리빙,75000,15,500000,3명,0,0,2
20,소비자와 광고주가 원하는 진짜 광고플렛폼 !!,테크 · 가전,100000,1,10000000,1명,0,0,5
21,비싼 이어폰! 관리 제대로 하고 계신가요?가죽 이어폰케이스,잡화,822000,41,2004800,48명,0,0,3
22,눈꽃과 함께 찾아온 겨울새 뱃지,캐릭터 · 굿즈,134500,26,517300,13명,0,0,2
23,"어른이를 위한 칭찬스티커판, [라이크플로우판]",캐릭터 · 굿즈,207500,41,506000,3명,0,1,1
24,"판타지 비주얼 노벨 게임 <블루문 파크>, PC판 출시!",디지털 게임,1168000,38,3073600,30명,0,1,2
25,판타지 랜덤 디펜스 모바일,디지털 게임,20000,4,500000,3명,0,0,5
26,특별하고 소중한 한 권의 책을 위한 '한 곳',홈 · 리빙,375000,6,6250000,6명,0,0,5
27,나의 여름을 더 빛내줄 매력적인 일러스트 비치타올,잡화,205000,3,6833300,8명,0,0,1
28,리이슈 코리아 아트페어: 서울,예술,370000,1,37000000,29명,0,0,4
29,"당신을 위한 평생 친구이자 특별한 선물, 아토",테크 · 가전,1281000,3,42700000,20명,0,1,4
30,1장 그림책 '복숭아는 복숭복숭' 만들기,예술,18000,2,900000,1명,0,0,5
31,"멸종 위기 동물 뱃지, '라니'와 '네오'",캐릭터 · 굿즈,417000,26,1603800,32명,0,1,1
32,멸종위기동물 뱃지 WITH US,캐릭터 · 굿즈,255000,17,1500000,14명,0,0,3
33,웹툰배경 스케치업-모던 단독주택,웹툰 리소스,87000,17,511700,3명,0,0,3
34,박현종의 겨울콘서트 <마음>,음악,417000,8,5212500,8명,0,0,4
35,무농약 자색 양파를 (즙즙즙),푸드,180000,5,3600000,2명,0,0,4
36,인류의 절반은 생리를 한다. 그림 에세이 <생리 중이야>,출판,707000,47,1504200,29명,0,0,2
37,웹툰 배경 스케치업- 단독주택 및 주거공간,웹툰 리소스,207000,41,504800,9명,0,0,4
38,"내 손안의 작은 숲, 이끼 테라리움",홈 · 리빙,39000,3,1300000,1명,0,1,4
39,"생각 많은 밤, 5가지 후드티",의류,0,0,0,0명,0,1,4
40,영화 배뱅이굿 사전제작비,영화 · 비디오,3894000,1,389400000,32명,0,0,2
41,"인장이와 인정이는 지금 휴가중! ""선인장 뱃지""",캐릭터 · 굿즈,361000,12,3008300,13명,0,0,2
42,Would you like 우주?,디자인 문구,383400,38,1008900,12명,0,0,4
43,뭉글뭉글 고양이 뱃지,잡화,502000,27,1859200,29명,0,0,3
44,소아암 환아들의 러브하우스,캐릭터 · 굿즈,328500,20,1642500,13명,0,0,5
45,"스누지의 귀여운 일러스트 캐릭터, 키링과 에어팟케이스 !",잡화,47500,11,431800,4명,0,1,2
46,제8회 목포인권영화제 「새로고침」,영화 · 비디오,310000,10,3100000,5명,0,0,3
47,심플하면서 따뜻한 2021년 강아지 일러스트 달력,디자인 문구,358000,51,701900,9명,0,0,4
48,「변변찮은 마술강사와 금기교전」애니 종영기념 메모리얼 세트,영화 · 비디오,0,0,0,0명,0,0,3
49,"✧하트가챠뱃지, 랜덤으로 행복뽑기✧",잡화,222000,44,504500,20명,0,1,4
50,"나의 안전한 작은 공간, PVC 에어캡 파우치",잡화,240000,48,500000,12명,0,1,1
51,국내 최초 채식하는 호랑이! 당근이 굿즈 3종 세트,캐릭터 · 굿즈,144000,28,514200,8명,0,0,5
52,나의 여행을 소중하게 FRAGILE 스티커 세트,캐릭터 · 굿즈,30000,6,500000,3명,0,0,3
53,"민화를 뛰쳐나온 고양이, 전통의 미를 담은 노트북 파우치",잡화,365500,24,1522900,13명,0,1,2
